X,Y,dX_m,dY_m,Magnitude_m,YearPair
745365,998055,-30,30,42.4264068711929,2001-2003
745395,998025,0,30,30,2001-2003
745425,998025,0,30,30,2001-2003
745455,997995,-30,0,30,2001-2003
745485,997965,0,0,0,2001-2003
745515,997965,-30,0,30,2001-2003
745545,997935,-30,0,30,2001-2003
745575,997935,-30,30,42.4264068711929,2001-2003
745605,997905,0,30,30,2001-2003
745635,997905,-30,30,42.4264068711929,2001-2003
745665,997875,0,30,30,2001-2003
745695,997875,-30,30,42.4264068711929,2001-2003
745725,997845,-30,30,42.4264068711929,2001-2003
745755,997815,-30,30,42.4264068711929,2001-2003
745785,997815,-60,30,67.0820393249937,2001-2003
745815,997815,-60,60,84.8528137423857,2001-2003
745845,997815,0,90,90,2001-2003
745875,997785,0,60,60,2001-2003
745905,997755,-30,30,42.4264068711929,2001-2003
745935,997755,0,60,60,2001-2003
745965,997755,-30,60,67.0820393249937,2001-2003
745995,997755,-60,60,84.8528137423857,2001-2003
746025,997755,-30,90,94.8683298050514,2001-2003
746055,997725,-60,60,84.8528137423857,2001-2003
746085,997725,-90,60,108.16653826392,2001-2003
746115,997725,-30,120,123.69316876853,2001-2003
746145,997695,-60,90,108.16653826392,2001-2003
746175,997695,-30,120,123.69316876853,2001-2003
746205,997695,-60,120,134.164078649987,2001-2003
746235,997665,-30,120,123.69316876853,2001-2003
746265,997665,-60,120,134.164078649987,2001-2003
746295,997635,-30,120,123.69316876853,2001-2003
746325,997635,-60,120,134.164078649987,2001-2003
746355,997635,-90,120,150,2001-2003
746385,997635,-120,120,169.705627484771,2001-2003
746415,997635,-60,180,189.736659610103,2001-2003
746445,997635,-90,180,201.246117974981,2001-2003
746475,997635,-120,180,216.333076527839,2001-2003
746505,997635,-150,180,234.3074902772,2001-2003
746535,997605,-180,150,234.3074902772,2001-2003
746565,997605,-180,180,254.558441227157,2001-2003
746595,997605,-210,180,276.586333718787,2001-2003
746625,997605,-210,210,296.98484809835,2001-2003
746655,997605,-60,300,305.941170815567,2001-2003
746685,997605,-90,300,313.209195267316,2001-2003
746715,997605,-120,300,323.10988842807,2001-2003
746745,997605,0,330,330,2001-2003
746775,997605,-30,330,331.360830515618,2001-2003
746805,997605,-60,330,335.410196624968,2001-2003
746835,997605,-90,330,342.052627529741,2001-2003
746865,997605,-120,330,351.140997321589,2001-2003
746895,997605,-30,360,361.247837363769,2001-2003
746925,997575,-60,330,335.410196624968,2001-2003
746955,997575,-90,330,342.052627529741,2001-2003
746985,997575,-120,330,351.140997321589,2001-2003
747015,997575,-30,360,361.247837363769,2001-2003
747045,997575,-60,360,364.965751817893,2001-2003
747075,997575,-90,360,371.079506305589,2001-2003
747105,997575,-120,360,379.473319220205,2001-2003
747135,997575,-150,360,390,2001-2003
747165,997575,-60,390,394.588393138977,2001-2003
747195,997575,-90,390,400.24992192379,2001-2003
747225,997575,-120,390,408.044115262063,2001-2003
747255,997575,90,390,400.24992192379,2001-2003
